time,thetao
1993-01-01,26.982851
1993-02-01,27.15616
1993-03-01,27.845097
1993-04-01,29.170462
1993-05-01,29.849665
1993-06-01,29.075321
1993-07-01,28.309498
1993-08-01,27.828056
1993-09-01,28.015076
1993-10-01,28.484972
1993-11-01,28.247467
1993-12-01,27.658087
1994-01-01,27.265238
1994-02-01,27.263266
1994-03-01,28.011923
1994-04-01,29.35877
1994-05-01,29.774572
1994-06-01,28.829044
1994-07-01,28.02101
1994-08-01,27.637074
1994-09-01,27.797676
1994-10-01,28.591377
1994-11-01,28.158737
1994-12-01,27.439802
1995-01-01,26.984303
1995-02-01,27.211761
1995-03-01,28.10965
1995-04-01,29.492504
1995-05-01,29.603096
1995-06-01,29.227037
1995-07-01,28.43129
1995-08-01,28.175364
1995-09-01,28.212757
1995-10-01,28.62222
1995-11-01,28.412695
1995-12-01,27.584404
1996-01-01,27.065802
1996-02-01,27.077747
1996-03-01,28.18083
1996-04-01,29.384455
1996-05-01,29.716143
1996-06-01,29.162027
1996-07-01,28.305994
1996-08-01,27.760117
1996-09-01,28.041515
1996-10-01,28.182596
1996-11-01,28.058115
1996-12-01,27.424362
1997-01-01,27.006477
1997-02-01,26.901663
1997-03-01,28.189066
1997-04-01,29.313984
1997-05-01,29.90335
1997-06-01,29.67001
1997-07-01,28.59022
1997-08-01,28.048582
1997-09-01,28.473392
1997-10-01,29.178314
1997-11-01,28.99625
1997-12-01,28.153845
1998-01-01,27.594545
1998-02-01,27.83959
1998-03-01,28.604712
1998-04-01,30.0035
1998-05-01,30.745718
1998-06-01,29.795202
1998-07-01,28.613792
1998-08-01,28.362223
1998-09-01,28.486492
1998-10-01,28.516315
1998-11-01,28.40025
1998-12-01,27.886549
1999-01-01,27.16268
1999-02-01,27.294933
1999-03-01,28.452744
1999-04-01,29.156918
1999-05-01,29.151299
1999-06-01,28.580988
1999-07-01,28.10002
1999-08-01,27.704165
1999-09-01,28.029846
1999-10-01,28.261625
1999-11-01,28.205235
1999-12-01,27.663137
2000-01-01,27.162945
2000-02-01,27.172224
2000-03-01,27.966064
2000-04-01,29.088013
2000-05-01,29.486057
2000-06-01,28.688292
2000-07-01,28.030285
2000-08-01,27.927557
2000-09-01,28.20639
2000-10-01,28.579464
2000-11-01,28.598782
2000-12-01,27.549416
2001-01-01,26.966803
2001-02-01,27.121227
2001-03-01,28.20176
2001-04-01,29.518482
2001-05-01,29.94025
2001-06-01,28.885937
2001-07-01,28.119856
2001-08-01,27.845829
2001-09-01,28.268244
2001-10-01,28.476706
2001-11-01,28.569052
2001-12-01,27.842588
2002-01-01,27.280226
2002-02-01,27.209318
2002-03-01,28.40408
2002-04-01,29.71232
2002-05-01,29.767366
